,Player,ID,Tm
202,De'Aaron Fox,foxde01,SAC
203,Melvin Frazier,frazime01,ORL
204,Michael Frazier,frazimi01,HOU
205,Tim Frazier,fraziti01,DET
206,Markelle Fultz,fultzma01,ORL
209,Wenyen Gabriel,gabriwe01,POR
210,Daniel Gafford,gaffoda01,CHI
211,Danilo Gallinari,gallida01,OKC
212,Langston Galloway,gallola01,DET
213,Darius Garland,garlada01,CLE
214,Marc Gasol,gasolma01,TOR
215,Rudy Gay,gayru01,SAS
216,Paul George,georgpa01,LAC
217,Taj Gibson,gibsota01,NYK
218,Harry Giles,gilesha01,SAC
219,Shai Gilgeous-Alexander,gilgesh01,OKC
220,Rudy Gobert,goberru01,UTA
221,Brandon Goodwin,goodwbr01,ATL
222,Aaron Gordon,gordoaa01,ORL
223,Eric Gordon,gordoer01,HOU
224,Devonte' Graham,grahade01,CHO
227,Treveon Graham,grahatr01,ATL
228,Jerami Grant,grantje01,DEN
229,Josh Gray,grayjo01,NOP
230,Danny Green,greenda02,LAL
231,Draymond Green,greendr01,GSW
232,JaMychal Green,greenja01,LAC
233,Javonte Green,greenja02,BOS
236,Jeff Green,greenje02,HOU
237,Blake Griffin,griffbl01,DET
238,Marko Guduric,gudurma01,MEM
239,Kyle Guy,guyky01,SAC
240,Rui Hachimura,hachiru01,WAS
241,Devon Hall,hallde01,OKC
242,Donta Hall,halldo01,DET
243,Dusty Hannahs,hannadu01,MEM
244,Tim Hardaway Jr.,hardati02,DAL
245,James Harden,hardeja01,HOU
248,Maurice Harkless,harklma01,NYK
249,Jared Harper,harpeja01,PHO
250,Montrezl Harrell,harremo01,LAC
251,Gary Harris,harriga01,DEN
252,Joe Harris,harrijo01,BRK
253,Tobias Harris,harrito02,PHI
254,Shaquille Harrison,harrish01,CHI
255,Josh Hart,hartjo01,NOP
256,Isaiah Hartenstein,harteis01,HOU
257,Udonis Haslem,hasleud01,MIA
258,Jaxson Hayes,hayesja02,NOP
259,Gordon Hayward,haywago01,BOS
262,John Henson,hensojo01,DET
263,Dewan Hernandez,hernade01,TOR
266,Juan Hernangómez,hernaju01,MIN
267,Willy Hernangómez,hernawi01,CHO
268,Tyler Herro,herroty01,MIA
269,Kevin Hervey,herveke01,OKC
270,Mario Hezonja,hezonma01,POR
271,Buddy Hield,hieldbu01,SAC
272,George Hill,hillge01,MIL
275,Solomon Hill,hillso01,MIA
276,Jaylen Hoard,hoardja01,POR
277,Aaron Holiday,holidaa01,IND
278,Jrue Holiday,holidjr01,NOP
279,Justin Holiday,holidju01,IND
280,Rondae Hollis-Jefferson,holliro01,TOR
281,Richaun Holmes,holmeri01,SAC
282,Rodney Hood,hoodro01,POR
283,Al Horford,horfoal01,PHI
284,Talen Horton-Tucker,hortota01,LAL
285,Danuel House,houseda01,HOU
286,Dwight Howard,howardw01,LAL
287,William Howard,howarwi01,HOU
288,Kevin Huerter,huertke01,ATL
289,De'Andre Hunter,huntede01,ATL
290,Chandler Hutchison,hutchch01,CHI
291,Serge Ibaka,ibakase01,TOR
292,Andre Iguodala,iguodan01,MIA
293,Ersan ?lyasova,ilyaser01,MIL
294,Joe Ingles,inglejo01,UTA
295,Brandon Ingram,ingrabr01,NOP
296,Kyrie Irving,irvinky01,BRK
